"word","count","nextWord","phrase"
"back of the",69,"the","back of"
"way to the",69,"the","way to"
"the time of",69,"of","the time"
"of course the",69,"the","of course"
"and for the",68,"the","and for"
"can't wait for",68,"for","can't wait"
"it on the",68,"the","it on"
"a good thing",68,"thing","a good"
"to see it",68,"it","to see"
"thank you to",68,"to","thank you"
"the world is",68,"is","the world"
"out to the",68,"the","out to"
"to get in",68,"in","to get"
"just have to",68,"to","just have"
"i have never",68,"never","i have"
"when you are",68,"are","when you"
"that can be",68,"be","that can"
"don't know if",68,"if","don't know"
"want to get",68,"get","want to"
"at the university",68,"university","at the"
"the importance of",68,"of","the importance"
"to me that",68,"that","to me"
"but there is",68,"is","but there"
"the last two",68,"two","the last"
"we had to",68,"to","we had"
"i am in",68,"in","i am"
"there have been",68,"been","there have"
"feel free to",68,"to","feel free"
"here are some",68,"some","here are"
"you know the",67,"the","you know"
"of course i",67,"i","of course"
"a good day",67,"day","a good"
"this kind of",67,"of","this kind"
"to the point",67,"point","to the"
"on the internet",67,"internet","on the"
"to listen to",67,"to","to listen"
"and i just",67,"just","and i"
"to the top",67,"top","to the"
"and out of",67,"of","and out"
"of one of",67,"of","of one"
"the heart of",67,"of","the heart"
"for more information",67,"information","for more"
"he wanted to",67,"to","he wanted"
"the process of",67,"of","the process"
"it is an",67,"an","it is"
"only a few",67,"few","only a"
"a great deal",67,"deal","a great"
"to give up",67,"up","to give"
"have to make",67,"make","have to"
"all of my",67,"my","all of"
"as it was",67,"was","as it"
"couple of weeks",67,"weeks","couple of"
"but i do",66,"do","but i"
"get back to",66,"to","get back"
"let us know",66,"know","let us"
"i just want",66,"want","i just"
"will be able",66,"able","will be"
"to get some",66,"some","to get"
"and i know",66,"know","and i"
"feel like i",66,"i","feel like"
"i needed to",66,"to","i needed"
"but there are",66,"are","but there"
"and that the",66,"the","and that"
"for them to",66,"to","for them"
"in a small",66,"small","in a"
"and have a",66,"a","and have"
"i think this",66,"this","i think"
"in the right",66,"right","in the"
"but this is",66,"is","but this"
"came up with",66,"with","came up"
"i had been",66,"been","i had"
"live in the",65,"the","live in"
"if you haven't",65,"haven't","if you"
"do not have",65,"have","do not"
"you don't want",65,"want","you don't"
"to focus on",65,"on","to focus"
"you are not",65,"not","you are"
"when i get",65,"get","when i"
"because it is",65,"is","because it"
"on the first",65,"first","on the"
"the point of",65,"of","the point"
"going to make",65,"make","going to"
"the course of",65,"of","the course"
"and he was",65,"was","and he"
"the face of",65,"of","the face"
"the first place",65,"place","the first"
"is a bit",65,"bit","is a"
"me and my",65,"my","me and"
"so if you",65,"you","so if"
"trying to make",64,"make","trying to"
"for a new",64,"new","for a"
"a fan of",64,"of","a fan"
"they will be",64,"be","they will"
"of the last",64,"last","of the"
"who wants to",64,"to","who wants"
"to the public",64,"public","to the"
"and i can't",64,"can't","and i"
"at least a",64,"a","at least"
"you have the",64,"the","you have"
"and when i",64,"i","and when"
"of the night",64,"night","of the"
"the best way",64,"way","the best"
"was a great",64,"great","was a"
"in the day",64,"day","in the"
"in the kitchen",64,"kitchen","in the"
"the sound of",64,"of","the sound"
"that has been",64,"been","that has"
"time of the",64,"the","time of"
"two years ago",64,"ago","two years"
"is also a",64,"a","is also"
"for him to",63,"to","for him"
"to think about",63,"about","to think"
"is such a",63,"a","is such"
"i can see",63,"see","i can"
"we have the",63,"the","we have"
"all of you",63,"you","all of"
"the department of",63,"of","the department"
"be a great",63,"great","be a"
"in the meantime",63,"meantime","in the"
"be one of",63,"of","be one"
"a time when",63,"when","a time"
